card_name,card_number
Greninja (40) - 2016 (Cody Walinski),40/122
Lisia's Appeal,234/191
Vanillish,112/086
Wigglytuff (#30 Holo),30/30
Giratina,97/214
Lombre,33/107
Quagsire,045/111
Memory Capsule (Secret),202/185
Smeargle,157/214
Galarian Rapidash V (Alternate Full Art),168/198
Scorbunny,SWSH002
Corsola,102/165
Altaria,SV37/SV94
Suicune,030/122
Lillie's Clefairy ex - 195,195
Smeargle,128/203
Steelix EX,67/114
Mewtwo V-UNION - SWSH159,SWSH159
Garganacl,147/132
Eevee - SWSH212,SWSH212
Jigglypuff,044/105
Energy Switch - 2012 (Shuto Itagaki),94/114
Tropical Beach - 2013 (Clement Lamberton),BW50
Granbull,061/144
Alcremie VMAX (Secret),073/072
Luxray,007/130
Kricketune V,006/163
Reuniclus,126/124
Porygon-Z GX - SM216 (SM Black Star Promo),SM216
Hydreigon BREAK,87/114
Slaking,12/109
Swoop! Teleporter - 2005 (Curran Hill),92/109
Riolu,061/130
Absol ex,214/197
Wishiwashi,62/236
Muscle Band - 2015 (Patrick Martinez),121/146
Yveltal,046/072
Switch - 2006 (Jason Klaczynski),102/113
Yanmega ex,003/182
Shelgon,53/113
Haxorus (Master Ball Pattern),070/086
Mightyena,18/108
Energy Retrieval,99/98
Togepi & Cleffa & Igglybuff GX,143a/236
Lanturn (58),58/146
Xerneas - XY31,XY31
Rapidash,44/64
Natu,151/091
Rhydon (#25),25/30
Holon Scientist,97/113
Toxapex GX (Full Art),136/145
Uxie,043/146
Startling Megaphone - 2014 (Michikazu Tsuda),97/106
Basic Fire Energy (Blue Border),
Wooloo,SV103/SV122
Lucario (63),63/124
Adventure Bag (Secret),228/214
Machop,074/144
Oddish,092/091
Dark Flaaffy,33/109
Ralts,67/109
Fire Energy,106/114
Metapod,39/112
Primal Groudon EX (Omega),86/160
Raichu,043/146
Lanturn,19/92
Shedinja,014/107
Multi Switch (Secret),164/147
Mew ex,88/92
Alolan Golem,042/145
Bruno (Secret),172/163
Ash's Pikachu - SM109,SM109
Espeon - SWSH174,SWSH174
Copycat (Full Art),200/203
Excadrill ex,168/086
Pidgeot,35/132
Latias,4/10
Accelgor,11/108
Zekrom (Full Art Promo),XY76
Skyarrow Bridge - 2012 (Zachary Bokhari),91/99
Electrode GX (Full Art),155/168
Tentacruel,44/62
Celesteela GX (Full Art),144/156
Eevee (105),105/156
Kyurem - 2013 (Yugo Sato),31/116
Dwebble,129/086
Voltorb - 2008 (Tristan Robinson),117/132
Energy Retrieval - 2011 (Christopher Kan),92/114
Zeraora V - SWSH263,SWSH263
Melony,TG26/TG30
Hisuian Arcanine,TG08/TG30
Froakie,088/086
Muk,11/92
Brigette - 2018 (Robin Schulz),134/162
Haunter (41),41/99
Gible,SV38/SV94
Flapple,TG02/TG30
Golduck (Delta Species),43/110
Float Stone - 2017 (Naoto Suzuki),137/162
Meganium,026/123
Flygon - BW53 (Prerelease) [Staff],BW53
Yveltal - XY32,XY32
Tyranitar GX (Full Art),203/214
Xurkitree,SV14/SV94
Iron Treads ex,233/198
Ditto V,050/072
Grovyle,31/97
Kabuto,50/62
Professor Sycamore - 2018 (Magnus Pedersen),107/122
Golurk V (Full Art),181/203
Onix,056/102
Pineco (85),085/144
Latios EX,58/108
Hitmontop,37/53
Skitty,119/146
Lisia's Appeal,246/191
Bronzong,15/102
Solrock,47/107
Latias - SWSH171 (Prerelease),SWSH171
Gengar ex,193/162
Groudon,113/236
Froakie,XY03
Brave Bangle,104/084
Victini EX,24/113
Ursaring (34),34/75
Friends in Galar,140/172
Snivy,001/114
Luxray GL LV.X - 2009 (Stephen Silvestro),109/111
Beast Ring (Secret),141/131
Mudkip,60/109
Grass Energy (2),
Leafeon V - SWSH194,SWSH194
Emboar - 2011 (David Cohen),20/114
Butterfree,19/75
Grookey - 052,052
Umbreon ex,112/115
Regieleki V (Full Art),175/195
Snubbull (#27),27/30
Empoleon (117 Secret Rare),117/116
Eevee - 200 (Cosmos Holo),SVP 200
Dragapult ex,200/167
Psychic Energy,119/123
Octillery,6/95
Charizard,100/97
Sharpedo EX (152 Full Art),152/160
Chandelure,20/99
Tropius,195/193
Rugged Helmet (Secret),228/198
Drapion VSTAR,119/196
Seaking,24/107
Ampharos,1/132
Azumarill,001/109
Team Rocket's Meowth (Cosmos Holo),149/182
Dewgong (7),007/144
Green's Exploration (Full Art),209/214
Leafeon,45/111
Magnemite,66/109
Venusaur,15/102
Marnie's Grimmsnarl ex,287/217
Moltres,10/100
Unown (55),55/123
Sceptile,010a/168
Rayquaza EX (104 Full Art),104/108
Serperior V,TG13/TG30
Kleavor,TG08/TG30
Cobalion,084/101
Eelektrik - 2012 (Chase Moloney),40/101
Blaine's Last Stand (Full Art),69/70
Code Card - Pokemon GO Pokemon Center Elite Trainer Box Plus (Exclusive),
Mysterious Fossil,62/62
Energy Recycler,108/088
Cherubi,96
Rare Candy,88/100
Scovillain,202/198
Roserade,TG02/TG30
Swampert,23/109
Erika's Clefairy,025/132
Pikachu (Blue Border),
Gwynn,119/084
Manectric ex,101/107
Naganadel GX (Full Art),121/131
Origin Forme Palkia VSTAR,SWSH254
Empoleon LV.X,120/130
Sandile (Master Ball Pattern),057/086
Magikarp (#19),19/30
Braviary,214/191
Solrock,9/102
Full Face Guard (Secret),231/203
Keldeo EX,49/149
Weakness Policy (164 Secret Rare),164/160
Charmander (Delta Species),49/100
Misty's Tears,118/132
Pinsir,13/101
Tyranitar (Delta Species),16/113
Sceptile GX,22/214
Stufful (Ash vs Team Rocket Deck Kit),017/026
Vaporeon (H31),H31/H32
Combusken,27/109
Carracosta GX - SM239,SM239
Kangaskhan EX,078/106
Articuno GX,31/168
Electabuzz,22/115
Luxray (Perfect Order Stamped),028/088
Pikachu (Ivy),1
Ceruledge ex,036/191
Haunter - 2009 (Jason Martinez),40/100
Totodile (#14),14/30
Erika's Exeggcute (43),043/132
Acro Bike - 2015 (Jacob Van Wagner),122/160
Hex Maniac,075a/098
Rare Candy,83/106
Aegislash,86/146
Marill,232/217
Dragapult ex,073/131
Blaine's Quiz #2,111/132
Dowsing Machine,128/135
Latios EX,86/116
Team Aqua's Manectric,29/95
Alomomola,005/012
Tarragon,116/088
Holon Transceiver,98/113
Eevee (47),47/90
Persian,44/112
Jolteon V (Full Art),177/203
Raichu,041/147
Team Aqua's Poochyena,16/34
Erika's Vileplume,005/132
Professor Birch (2006),82/106
Scyther,46/75
Moltres,021/144
Vibrava,40/108
Hitmonlee,013/110
Suicune ex,94/95
Chandelure,038/167
Gouging Fire - 151,151
Gardevoir ex (Delta Species),93/101
Kirlia - SWSH271 (Prerelease) [STAFF],SWSH271
Sylveon GX (Full Art),140/145
Peonia (Full Art),196/198
Team Rocket's Archer,223/182
Mew ex,216/091
Metagross V (Full Art),181/198
Mega Venusaur ex,177/132
Rillaboom V - SWSH014,SWSH014
Sunflora,31/123
Magnezone (Team Plasma),46/135
Blaine's Gamble,121/132
Dartrix,010/149
Castaway - 2007 (Jeremy Scharff-Kim),72/100
Warp Energy - 2010 (Mychael Bryan),95/100
Slowpoke,66/90
Delcatty - SM132 (Prerelease) [Staff],SM132
Latios Prism Star,108/168
Eternatus VMAX (Secret),192/189
Virizion,17/98
Lt. Surge's Raticate,053/132
Flygon,5/111
Mewtwo EX,052/108
Mary's Request - 2007 (Tom Roos),86/115
Inteleon VMAX (Alternate Art Secret),266/264
Poliwrath,25/108
Tepig (BW02),BW02
N's Darmanitan - 181 (Prerelease),181
Zacian V-UNION,
Whimsicott V (Full Art),160/172
Togepi,30/53
Pheromosa & Buzzwole GX (191) (Full Art),191/214
Lugia EX (Team Plasma) (134 Full Art),134/135
Bulbasaur,001/034
Porygon-Z GX - SM216,SM216
Reuniclus,171/162
Victini (14),14/101
Carmine,145/167
Garchomp & Giratina GX (Full Art),228/236
Gyarados VMAX,029/203
Lugia ex,017/034
Eternatus V,SV121/SV122
Pidgey,085/110
Magikarp,61/95
Code Card - Mega Salamence EX Premium Collection,
Cyclizar,195/091
Roggenrola (Master Ball Pattern),046/086
Fezandipiti ex - 038/064 - 2024 (Jesse Parker),038/064
Jumpluff,11/132
Musharna,117/086
Mega Signal,171/132
Fennekin - 080 (Pokemon Center Exclusive),080
Cofagrigus (Team Plasma) (57),57/116
Revavroom ex,224/197
Delcatty,121/168
Lucario,080/113
Enhanced Hammer (Secret),162/145
Mr. Mime,179/165
Kyogre EX,26/108
Weavile,25/90
Landorus (Team Plasma) - BW79,BW79
Dimension Valley,93/119
Trubbish - 2018 (Magnus Pedersen),56/122
Lapras (7-Eleven Promo),031/142
Turtwig,017/017
Beheeyem BREAK - XY135,XY135
Professor Oak's New Theory - 2012 (Shuto Itagaki),83/95
Team Rocket's Moltres ex,031/182
Claydol ex,93/108
Spiky Energy,190/159
Vulpix,18/124
Totodile - 048,048
Espeon GX,SV60/SV94
Dratini,063/105
Mismagius GL,10/111
Durant ex,236/191
Remoraid,105/147
Unown [F],56/106
Shining Ho-Oh - SM70,SM70
Time-Space Distortion,124/123
Team Rocket's Nidoking ex - 217,217
Altaria,12/106
Feraligatr (12),012/165
Blaziken,3
Mightyena,243/217
Gothitelle (47),47/98
Honedge 83/146 (Regional Championships) [Staff],083/146
Raging Bolt - 2025 (Yuya Okita) [Gold Stamped],
Toxapex GX,57/145
Professor's Research [Professor Magnolia] (Full Art),201/202
Kingler,26/112
Pikachu,005/005
Snorlax - 051,051
Dugtrio,22/112
Dark Houndoom,5/109
Ditto (Squirtle),064/113
Charizard ex,199/165
Machamp - SWSH053,SWSH053
Dark Hypno (26),26/82
Arceus - XY83,XY83
Eevee (48),48/90
Glalie,34/101
Clefairy,53/115
Capturing Aroma,153/195
Team Galactic's Invention G-101 Energy Gain - 2010 (Yuta Komatsuda),116/127
Lairon,36/109
Hypno,016/147
Unown V (Full Art),176/195
Radiant Hawlucha,081/189
Reversal Energy,266/182
Jolteon Star - 2007 (Tom Roos),101/108
Scorbunny,225/217
Goodra,077/119
Voltorb,69/82
Fearow,042/110
Rhydon,059/130
Zamazenta - SWSH034,SWSH034
Bulbasaur,001/025
Primal Kyogre EX,055/160
Haunter,043/130
Serperior,013/149
Turtonator GX (Secret),148/145
Dedenne GX - 2019 (Shintaro Ito),57/214
Arcanine (12),12/99
Oricorio - SM19 (Prerelease),SM19
Bianca - 2013 (Yugo Sato),90/98
Misty's Poliwrath,031/132
Poliwag,67/115
Zekrom GX - SM138,SM138
Beheeyem (Master Ball Pattern),041/086
Parallel City - 2016 (Shunto Sadahiro),145/162
Wattrel,178/167
Wishiwashi GX,38/145
Oricorio,GG04/GG70
Recycle Energy (WotC 2002 League Promo),
VS Seeker - 2015 (Alejandro Ng-Guzman),109/119
Lapras,
Arcanine,1/111
Zamazenta V,GG54/GG70
Luxray,46/99
Celio's Network - 2008 (Dylan Lefavour),73/100
Code Card - Dragon Majesty Elite Trainer Box,
Flaaffy - SWSH122 (Prerelease),SWSH122
Garchomp,091/124
Growlithe,001/012
Charmander,070/110
Typhlosion (Prime),110/123
Blaine's Doduo,061/132
Double Colorless Energy - 2012 (Chase Moloney),92/99
Typhlosion - SM185,SM185
"Code Card - Evolutions Theme Deck - ""Pikachu Power"" [Pikachu]",
Charcadet - 022 (Pokemon Center Exclusive),022
Roaring Moon ex,124/182
Ho-Oh EX (Full Art),121/122
Flygon - 016,016
Kirlia - SWSH271 (Prerelease),SWSH271
Basic Lightning Energy - MEE 004 (Cosmos Holo),004
Irida (Secret),204/189
Cosmog,064/149
Metal Energy (Texture Full Art),159/159
Lt. Surge (101),101/132
Cherubi,013/017
Mega Hawlucha ex,283/217
Xerneas (Mega Evolution Stamped),064/132
Roark,242/182
Muscle Band - 121/146 - (Pokemon League),121/146
Jolteon GX - SM173,SM173
Houndour,69/106
Naganadel,108/214
Mew VMAX (Secret),268/264
Alolan Ninetales GX,132/214
Bellossom - 2004 (Chris Fulop),16/101
Rosa,204/236
Smeargle - 2012 (Chase Moloney),21/95
Paras,59/64
Jirachi,11/95
Moltres (H20),H20/H32
Cafe Master,TG25/TG30
Lumineon V,040/172
Pikachu,227/S-P
Junk Arm - 2012 (Igor Costa),87/102
Bouffalant - 136,136
Magnezone - 2011 (Gustavo Wada),96/102
Machamp V,072/189
Tapu Lele GX - 2017 (Diego Cassiraga),60/145
Shaymin,185/182
Alolan Raichu - SM65 (#25 Pikachu Stamped),SM65
Claydol,2/101
Maushold,210/091
Dark Pupitar,40/109
Gloom,093/091
Muk & Alolan Muk GX (Secret),220/214
N - 2018 (Magnus Pedersen),105/124
Arbok ex,185/165
Servine,003/114
Erika's Bulbasaur,039/132
Delphox,26/146
Spiritomb,087/132
Typhlosion (Prime) - HGSS09,HGSS09
Chaos Gym,102/132
Fighting Energy (Texture Full Art),157/159
Roserade,23/100
Paras,72/112
Allister (Secret),192/185
Eelektross,065/160
Zeraora,060/214
Eelektross,41/101
Blend Energy WLFM,118/124
Blaine's Dodrio,032/132
Shelmet,008/111
Bianca - 2014 (Michikazu Tsuda),109/113
Sunny Castform,26/101
Seaking,21/109
Double Dragon Energy,97/108
Celio's Network - 2006 (Jimmy Ballard),88/112
Heracross (Delta Species),3/101
Mewtwo,12/18
Graveler,37/99
Penny,252/198
Golett,122/086
Boltund V (Full Art),181/192
Paradise Resort - 150 (World Championships 2024) [Staff],150
Iron Defender,110/084
Walking Wake ex,178/131
Koga's Pidgey (49),049/132
Salamence (Delta Species),14/113
Smeargle - 2012 (Zachary Bokhari),21/95
Rayquaza EX -BW47,BW47
Victini - 208,208
Gastly,177/162
Mimikyu V,068/172
Venonat (10),10/214
Charmeleon,99/97
Rapidash (26),026/165
Rayquaza,16/110
Psychic Energy (Prize Pack Series 3) (Cosmos Holo),
Suicune & Entei Legend (Bottom),95/95
Manectric,16/106
Koraidon ex,245/091
Snorlax (33),33/111
Darkness Energy (Secret),236/203
Zoroark GX - SM84,SM84
Cobalion,84/101
Light Jolteon,048/105
Lycanroc VMAX (Secret),213/203
Carnivine G - DP42,DP42
Grumpig,29/106
Mabosstiff,218/198
Mightyena,10/109
Galarian Zigzagoon,117/202
Eevee,4/30
Great Tusk (Master Ball Pattern),055/131
Code Card - Venusaur VMAX Battle Box,
Weezing,058/135
Herdier (Master Ball Pattern),075/086
Gengar (Cosmos Holo) (Gamestop Exclusive),050/088
Onix,010/034
Psyduck,20/53
Fighting Energy,93/95
Manectric,061/160
Tyrantrum,062/111
Professor's Research [Professor Juniper] - SWSH152,SWSH152
Lightning Energy,104/106
Kirlia - 2010 (Michael Pramawat),51/127
Blastoise,13/95
Gardevoir,57/99
Raichu,51/110
Shaymin EX,077a/108
Pikachu (55),55/236
Hilda (Poke Ball Pattern),084/086
Gyarados (H10),H10/H32
Archeops (Master Ball Pattern),051/086
Sunflora,169/167
Torchic - XY37,XY37
Janine's Secret Art,173/131
Charmander,004/165
N's Darmanitan - 181 (Prerelease) [Staff],181
Greninja ex,106/167
Rare Candy,175/132
Tyranitar GX (Secret),223/214
Boldore,051/098
Suicune V (Full Art),173/203
Tyranitar,222/193
M Aggron EX (154 Full Art),154/160
Sentret,107/147
Breloom,3/107
Psychic Energy,101/102
Unown [N],50/75
Fast Ball,124/144
Drapion LV.X,123/127
Scolipede,040/098
Teddiursa,77/115
Jigglypuff,63/101
Yveltal BREAK,66/114
Focus Band,086/111
Ursaring,38/123
Lillipup (Master Ball Pattern),074/086
Charizard ex,234/091
Martial Arts Dojo (Secret),268/236
Togepi,50/109
Ralts,153/091
Stoutland (Master Ball Pattern),076/086
Ancient Mew,1
Haunter,35/92
Thundurus (Master Ball Pattern),033/086
Fighting Energy (2011 Pokemon League),
Guzzlord GX (Full Art),105/111
Electrode GX (Secret),172/168
Tool Scrapper,085/086
Applin (Master Ball Pattern),009/131
Bulbasaur,
Team Rocket's Moltres ex,229/182
Magneton - 159,159
Nita (Full Art),180/181
Floatzel GL Lv.X,104/111
Cramorant V (Full Art),198/202
Scovillain ex,216/191
Water Energy (2024),011
Water Energy - 2014 (Michikazu Tsuda),
Emboar,026/149
Florges,152/236
Blastoise GX (Secret),218/214
M Blaziken EX,XY86
Suicune ex - 2004 (Reed Weichler),94/95
M Aerodactyl EX,XY98
Meowscarada ex,015/193
Jirachi - 021 (Jirachi: Wish Maker DVD Release),021
Bruxish (Ash vs Team Rocket Deck Kit),004/026
Sabrina's Jynx,057/132
Code Card - Greninja ex Ultra-Premium Collection,
Cresselia,59/156
Ultra Necrozma GX (Secret),140/131
Murkrow,024/111
Shelgon (Delta Species),38/101
Noivern,77/111
Mienshao,200/182
Butterfree,09/18
Gengar (10),010/144
Torchic,73/109
Mesprit,204/191
Servine (Master Ball Pattern),002/086
Articuno GX (Full Art),154/168
Machamp VMAX,073/189
Blastoise,2/132
Dragonair,018/102
Tepig 15/114 (Cosmos Holo),015/114
Reuniclus (52),52/101
Slowpoke,80/112
Maractus,160/159
Dark Espeon,004/105
Team Aqua's Sealeo,16/95
Bastiodon,21/123
AZ's Tranquility,106/086
Magikarp - 2010 (Mychael Bryan),65/100
Vaporeon ex - 2006 (Jimmy Ballard),110/113
Blipbug,SV007/SV122
Gallade V (Full Art),181/196
Pokemon Collector - 2011 (Gustavo Wada),97/123
Dragonite EX,72/108
Mewtwo EX,54/99
Team Aqua Hideout,78/95
Ponyta,014/083
Fezandipiti ex - 2025 (Liao Fu Guan),
Pikachu,173/165
Deoxys EX - 2013 (Yugo Sato),53/116
Fezandipiti ex - 038/064 - 2024 (Evan Pavelski),038/064
Sandslash,42
Pawmot,209/198
Cyndaquil,59
Mewtwo - SM77,SM77
Cinccino (Master Ball Pattern),076/086
Erika's Tangela,079/132
Reshiram (Full Art Promo),XY74
Camerupt EX,29/160
Servine,RC2/RC25
Trainers' Mail,092a/108
Team Galactic's Invention G-101 Energy Gain - 2009 (Stephen Silvestro),116/127
Venusaur & Snivy GX (Secret),249/236
Poochyena,70/107
Zapdos,019/110
Scream Tail - 065 (Pokemon Center Exclusive),065
Porygon-Z,006/106
Dragonite ex (Delta Species),91/101
Remoraid,50/64
Full Heal,082/102
Bagon,23/97
Lotad,66/100
Rika,258/182
Zarude (What's Your Favorite Stamp),056/084
Charmander,48/100
Fighting Energy,120/123
Volcanion ex,182/159
Mewtwo (20),020/165
Pikachu - 012 (EX Series Collector's Tin),012
Shinx,135/091
Rayquaza VMAX (Alternate Art Secret),218/203
Crawdaunt,3/97
Vanilluxe,33/99
Mewtwo EX (157 Full Art),157/162
Ampharos (2),002/165
Darumaka - BW18,BW18
Mega Pyroar ex,099/086
Gliscor E4,062/111
Blaine's Kangaskhan,036/132
Starmie,064/102
Cresselia EX (143 Full Art),143/149
Metapod,42/75
Porygon-Z,7/102
Hilda - 2025 (Jose Cruz Galindo-Resendiz),
M Kangaskhan EX - 2014 (Michikazu Tsuda),79/106
Jirachi ex - 2008 (Jason Klaczynski),94/100
Primal Groudon EX,097/098
Team Rocket's Murkrow,200/182
Shaymin,225/SM-P
Reset Stamp - 2019 (Shintaro Ito),206/236
Amoonguss - SM202 (Prerelease),SM202
Corviknight V (Full Art),156/163
Fighting Energy - 2005 (Takashi Yoneda),
Swinub,084/105
Jamming Tower - 2025 (Jose Cruz Galindo-Resendiz),
Hypno,25/112
Eternatus VMAX,117/189
Mr. Briney's Compassion,008/017
N's Reshiram,116/159
Meowscarada ex - 078,078
Wurmple,78/109
Meowscarada ex,271/193
Rotom,005/017
Cofagrigus (Team Plasma) (56),56/116
Suicune & Entei Legend (Top),94/95
Kilowattrel ex,068/191
Darkness Energy,094/095
Victini,30/236
Iron Thorns - 098 (Pokemon Center),098
Manaphy,8/100
Skarmory FB,83
Espeon,16
Code Card - Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),
Dawn,118/094
Tepig,096/086
Porygon (103a),103a/147
Blastoise,2/127
Zekrom,050/099
Ariados,TG09/TG30
Weavile GX,132/236
Hisuian Voltorb,GG01/GG70
Dark Croconaw,032/105
Lt. Surge's Secret Plan,107/132
Team Magma's Baltoy - 2004 (Tsuguyoshi Yamato),60/95
Enamorus V (Full Art),178/196
Energy Search - 2012 (Zachary Bokhari),93/114
Unown [U],51/75
Rapidash,060/110
Cleffa - 037 (Prerelease),037
Meowth,053/083
Piplup,072/100
Brock's Vulpix [W Stamped],037/132
Tapu Lele GX - 2017 (Zachary Bokhari),60/145
Gwynn,109/084
Full Flame,74/92
Teddiursa,105/123
Pupitar,116/214
Stantler,32/115
Holon Farmer - 2007 (Akira Miyazaki),91/113
Marnie - SWSH121,SWSH121
Lady (Secret),208/196
Rocket's Sneasel ex,103/109
Lechonk (Pokemon Center Exclusive),155/198
Luvdisc,44/168
Crispin,164/142
Wally (107 Full Art),107/108
Mega Venusaur ex,155/132
"Reshiram, Zekrom & Kyurem",
Rufflet (Master Ball Pattern),077/086
Mudkip,004/005
Snorlax,109/149
Lugia GX (Secret),227/214
Slurpuff,236/217
Mew EX (120 Full Art),120/124
Espeon & Deoxys GX Oversized - SM240 (SM Black Star Promo),SM240
Fletchling,RC25/RC32
Turtwig,077/100
Magby (17),017/165
Hop's Trevenant,237/217
Lillie's Clefairy ex,280/217
Ball Guy (Full Art),065/072
Bulbasaur,39/95
Copycat,73/101
Dark Raichu,83/82
Decidueye GX,12/149
Ninetales (57),057/165
Snorlax,064/110
Growlithe,068/105
Riolu - BW33 (Cosmos Holo),BW33
Groudon ex,93/101
Gyarados ex,225/198
Zygarde EX,054a/124
Weezing,45/62
Tapu Lele GX,60/145
Necrozma GX (Secret),153/147
Okidogi ex,036/064
Garchomp V,117/189
Cessation Crystal - 2008 (Dylan Lefavour),74/100
Piplup - DP03,DP03
Mega Greninja ex,122/086
Meowth,62/82
Wartortle - 2006 (Hiroki Yano),50/112
Electrode,025/130
Pikachu ex,219/191
Team Magma's Groudon - 2004 (Tsuguyoshi Yamato),9/95
Misty's Magikarp,088/132
Primeape,029/147
Pidove (Master Ball Pattern),071/086
Leafeon,7/111
Rayquaza (Delta Species),13/113
Girafarig,066/105
Lost City,161/196
Lugia VSTAR,139/195
Squirtle,007/165
Ivysaur,002/034
Junk Arm - 2012 (Shuto Itagaki),87/102
Growlithe,
Garbodor,68/113
Water Energy,107/114
Simipour,102/086
Venusaur EX (141 Full Art),141/146
Marshadow & Machamp GX (Secret),221/214
Glimmora ex,213/197
Pidgey (#29),29/30
Shaymin EX - 2015 (Patrick Martinez),77/108
Sidney (Full Art),264/264
Axew (12),12/20
Lightning Energy (#8),8/30
Pikachu - SM81,SM81
Bibarel,16
Hisuian Typhlosion V (Full Art),169/189
Eevee,143/191
Falinks,SV074/SV122
Espeon & Deoxys GX,72/236
Charmander - 047 (Cosmos Holo),047
Wingull,81/107
Gumshoos (Ash vs Team Rocket Deck Kit),016/026
Seadra - 2011 (Gustavo Wada),40/95
Stunfisk (Master Ball Pattern),035/086
Path to the Peak (Secret),213/189
Slaking,13/108
Scorbunny - 053,053
Rampardos,65/156
Gyarados VMAX (Secret),207/203
Hisuian Samurott V,101/189
Team Magma's Camerupt - 2004 (Tsuguyoshi Yamato),19/95
Mega Froslass ex,265/217
Crobat G - 2010 (Yuka Furusawa),47/127
Candela - SWSH228,SWSH228
Neutralization Zone,060/064
Golem (49),049/165
Blastoise ex,009/165
Galarian Rapidash,SV048/SV122
Rapid Strike Urshifu V - SWSH107,SWSH107
Houndoom,08/64
Quagsire,60/132
Salamence Spirit Link,XY172
Ditto,4/112
Radio Tower,095/105
Oshawott,BW03
Lapras VMAX,SV111/SV122
Togedemaru,104/094
Jigglypuff (#25),25/30
M Steelix EX,68/114
Duskull (Master Ball Pattern),035/131
Eevee (84),84/108
Dark Raticate,17/109
Corsola,013/017
Galarian Stunfisk,SV088/SV122
Magikarp,47/82
Silcoon,43/109
Lt. Surge's Electabuzz (6),006/132
Kangaskhan ex,115/165
Zangoose (Delta Species),015/017
Shelmet,093/086
Arceus - XY197,XY197
Heal Energy,94/107
Galarian Mr. Rime,036/189
Manectric - SM130 (Prerelease),SM130
Armaldo ex (Non-Holo),016/017
Jellicent ex,168/086
Cyndaquil,061/105
Ash's Pikachu - SM108,SM108
Jacinthe,110/088
Gengar VMAX (Alternate Art Secret),271/264
Swellow,015/017
Ampharos (H1),H01/H32
Empoleon,029/108
Dark Ursaring,021/105
Alolan Sandshrew,004/012
Mega Camerupt ex,022/132
Starmie,005/034
Honedge (#27),27/30
Fire Energy (WotC 2002 League Promo),
Volcanion (XY Steam Siege Prerelease),XY145
Cacturne ex,91/106
Inteleon - SWSH113 (Prerelease),SWSH113
Mimikyu ex - 004,004
Joltik (41),41/108
Tapu Fini GX,SV92/SV94
Lycanroc,076/147
Pikachu GX - SM232,SM232
Meowth,42/95
Warp Energy,91/108
Infernape - 116 (Prerelease) [Staff],116
Swoobat (Master Ball Pattern),037/086
Grass Cube 01,124/127
Piplup,93/130
Espeon GX (Secret),152/149
Charizard ex - 074,074
Sneasel,182/091
Bisharp,64/114
Rocket's Hideout,63/64
