card_name,card_number,card_name_cleaned
Suicune (H25),H25/H32,Suicune (H25)
Umbreon - SWSH129,SWSH129,Umbreon
Slowbro - 083 (Pitch Black Stamped),083,Slowbro (Pitch Black Stamped)
Palkia & Dialga Legend (Top),101/102,Palkia & Dialga Legend (Top)
Spark (Secret),085/078,Spark (Secret)
Master Ball,94/101,Master Ball
Aipom - SM244,SM244,Aipom
Lightning Energy (Texture Full Art),155/159,Lightning Energy (Texture Full Art)
Palafin ex - 126,126,Palafin ex
Cyrus's Conspiracy - 2009 (Stephen Silvestro),105/127,Cyrus's Conspiracy - 2009 (Stephen Silvestro)
Professor Sycamore,107a/122,Professor Sycamore
Garchomp ex,219/182,Garchomp ex
Kofu,165/142,Kofu
Incineroar ex,187/162,Incineroar ex
Girafarig - 2006 (Jason Klaczynski),16/92,Girafarig - 2006 (Jason Klaczynski)
Starmie,16/111,Starmie
Trubbish (65),65/135,Trubbish
Anorith,27/100,Anorith
Dragapult VMAX - SWSH097,SWSH097,Dragapult VMAX
Eiscue ex,222/197,Eiscue ex
Pumpkaboo - 2022 (Ondrej Skubal),076/203,Pumpkaboo - 2022 (Ondrej Skubal)
Yveltal ex,053/088,Yveltal ex
Torterra,11/100,Torterra
Riolu (Cracked Ice Holo),016/017,Riolu (Cracked Ice Holo)
Kangaskhan ex - 055,055,Kangaskhan ex
Darkrai V,098/189,Darkrai V
Heracross EX,4/111,Heracross EX
Boss's Orders,058/072,Boss's Orders
Reshiram & Charizard GX - SM247,SM247,Reshiram & Charizard GX
Manaphy,4/12,Manaphy
Salamence ex,177/159,Salamence ex
Delcatty,4/92,Delcatty
Ice Rider Calyrex VMAX,046/198,Ice Rider Calyrex VMAX
Mewtwo V (Alternate Full Art),072/078,Mewtwo V (Alternate Full Art)
Pikachu - 225 (World Championship 2025),225,Pikachu (World Championship 2025)
Underground Expedition,097/111,Underground Expedition
Bellossom,001/090,Bellossom
Koffing,114/165,Koffing
Naganadel & Guzzlord GX (Full Art),223/236,Naganadel & Guzzlord GX (Full Art)
Cobalion GX (Secret),189/181,Cobalion GX (Secret)
Pokemon Reversal,97/112,Pokemon Reversal
Xatu,11/95,Xatu
Kahili (Full Art),210/214,Kahili (Full Art)
Bulbasaur,77/132,Bulbasaur
Nidorino,41/112,Nidorino
Steelix,24/95,Steelix
Mareep - Pikachu 2,107,Mareep - Pikachu 2
Energy Root,83/115,Energy Root
Pikachu & Zekrom GX - 2019 (Haruki Miyamoto),33/181,Pikachu & Zekrom GX - 2019 (Haruki Miyamoto)
Pikachu (Japanese),PW 5,Pikachu (Japanese)
Mime Jr.,90/130,Mime Jr.
Felicity's Drawing - 2010 (Mychael Bryan),98/106,Felicity's Drawing - 2010 (Mychael Bryan)
Darkrai & Cresselia Legend,099/102 & 100/102,Darkrai & Cresselia Legend
Quagsire - 156,156,Quagsire
Slowpoke,67/82,Slowpoke
Iris's Fighting Spirit (Regional Championships) [Staff],149/159,Iris's Fighting Spirit (Regional Championships) [Staff]
Team Magma's Numel,64/95,Team Magma's Numel
Silvally GX,90/111,Silvally GX
Oranguru - 2018 (Pedro Eugenio Torres),113/149,Oranguru - 2018 (Pedro Eugenio Torres)
Reshiram & Charizard GX - SM201,SM201,Reshiram & Charizard GX
Dark Persian,42/82,Dark Persian
Venusaur,028/100,Venusaur
Ninetales,017/110,Ninetales
Charmeleon,35/99,Charmeleon
Grass Energy,129/132,Grass Energy
Vaporeon Star,102/108,Vaporeon Star
Magmar,003/012,Magmar
Tyrogue,33/115,Tyrogue
Porygon2 - 138 (Cosmos Holo),138,Porygon2 (Cosmos Holo)
Burning Energy,151/162,Burning Energy
Marnie (Secret),208/202,Marnie (Secret)
Torkoal,27/92,Torkoal
Professor Burnet,TG26/TG30,Professor Burnet
Aerodactyl,1/92,Aerodactyl
Code Card - Porygon-Z GX Box,,Code Card - Porygon-Z GX Box
Kommo-o GX (Full Art),141/145,Kommo-o GX (Full Art)
Full Heal Energy,100/110,Full Heal Energy
Lacey,172/142,Lacey
Brock's Golem,020/132,Brock's Golem
Garchomp,5,Garchomp
Spiritomb,035/084,Spiritomb
Code Card - League Battle Deck [Mega Lucario ex],,Code Card - League Battle Deck [Mega Lucario ex]
Roaring Moon,109/162,Roaring Moon
Misty's Tentacool (57),057/132,Misty's Tentacool
Dodrio,037/130,Dodrio
Lucario,064/099,Lucario
Espeon E4,18/111,Espeon E4
Incineroar GX,027/149,Incineroar GX
Yanmega BREAK - 2016 (Jesper Eriksen),8/114,Yanmega BREAK - 2016 (Jesper Eriksen)
Oricorio ex,110/094,Oricorio ex
Miraidon,028/084,Miraidon
Sandaconda V (Full Art),175/198,Sandaconda V (Full Art)
Arcanine,15/100,Arcanine
Luxray GL LV.X - 2010 (Mychael Bryan),109/111,Luxray GL LV.X - 2010 (Mychael Bryan)
Latias & Latios GX (Full Art),169/181,Latias & Latios GX (Full Art)
Hisuian Arcanine V (Full Art),179/195,Hisuian Arcanine V (Full Art)
Zoroark,102/99,Zoroark
Rhydon,46/101,Rhydon
Alolan Muk GX,84/147,Alolan Muk GX
Typhlosion,017/115,Typhlosion
Electrode - 2008 (Tristan Robinson),26/132,Electrode - 2008 (Tristan Robinson)
Sinistcha,022/167,Sinistcha
Flamigo,227/193,Flamigo
Team Aqua's Spheal,56/95,Team Aqua's Spheal
Meowth (Delta Species),71/110,Meowth (Delta Species)
Computer Search - 2015 (Jacob Van Wagner),137/149,Computer Search - 2015 (Jacob Van Wagner)
Meowth,106/094,Meowth
Lugia,XY156,Lugia
Arceus VSTAR (Secret),GG70/GG70,Arceus VSTAR (Secret)
Alolan Ninetales,028/147,Alolan Ninetales
Crobat - BW51 (Team Plasma) (Prerelease) [Staff],BW51,Crobat (Team Plasma) (Prerelease) [Staff]
Dusknoir - 2025 ( Jose Cruz Galindo-Resendiz),,Dusknoir - 2025 ( Jose Cruz Galindo-Resendiz)
Tropical Tidal Wave - HGSS18 (Worlds 10) [Staff],HGSS18,Tropical Tidal Wave (Worlds 10) [Staff]
Leafeon VSTAR,014/159,Leafeon VSTAR
Duraludon V,122/203,Duraludon V
Tandemaus (Cosmos Foil),167/193,Tandemaus (Cosmos Foil)
Mudsdale,076/145,Mudsdale
Heatmor (Master Ball Pattern),019/086,Heatmor (Master Ball Pattern)
M Audino EX,85/124,M Audino EX
Munna (Master Ball Pattern),035/086,Munna (Master Ball Pattern)
Latias (Delta Species),21/110,Latias (Delta Species)
Arcanine,06/53,Arcanine
Ceruledge ex,147/131,Ceruledge ex
Psyduck,002/012,Psyduck
Mareep (75),75/214,Mareep
Pincurchin V,072/192,Pincurchin V
Trevenant & Dusknoir GX - SM217,SM217,Trevenant & Dusknoir GX
Lapras,24/123,Lapras
Red's Challenge (Full Art),213/214,Red's Challenge (Full Art)
Forretress (56),056/144,Forretress
Thievul,SV082/SV122,Thievul
Dawn Wings Necrozma - SM106,SM106,Dawn Wings Necrozma
Meowth,078/144,Meowth
Perrin,220/167,Perrin
Entei & Raikou Legend (bottom),91/95,Entei & Raikou Legend (bottom)
Warp Point - 2006 (Miska Saari),93/115,Warp Point - 2006 (Miska Saari)
Zekrom ex,158/086,Zekrom ex
Mr. Mime,027/130,Mr. Mime
Code Card - Stellar Crown Pokemon Center Elite Trainer Box (Exclusive),,Code Card - Stellar Crown Pokemon Center Elite Trainer Box (Exclusive)
Deoxys ex (Speed Forme),93/106,Deoxys ex (Speed Forme)
Naganadel - 2019 (Shintaro Ito),108/214,Naganadel - 2019 (Shintaro Ito)
Grass Energy,88/95,Grass Energy
Popplio - SM03,SM03,Popplio
Cheryl (Secret),173/163,Cheryl (Secret)
Brock's Diglett,067/132,Brock's Diglett
Baltoy - 2010 (Michael Pramawat),89/147,Baltoy - 2010 (Michael Pramawat)
Bill's Maintenance - 2006 (Jimmy Ballard),87/112,Bill's Maintenance - 2006 (Jimmy Ballard)
Kingdra ex - 131,131,Kingdra ex
Volcanion - SM179 (Prerelease) [Staff],SM179,Volcanion (Prerelease) [Staff]
Briar,132/142,Briar
Gengar,005/092,Gengar
Hypno (H12),H12/H32,Hypno (H12)
Swanna (Master Ball Pattern),026/086,Swanna (Master Ball Pattern)
Scream Tail - 065,065,Scream Tail
Ultra Ball,122/116,Ultra Ball
Ultra Ball,150/172,Ultra Ball
Walking Wake ex,189/162,Walking Wake ex
Aggron,1/108,Aggron
Welder - 2019 (Shintaro Ito),189/214,Welder - 2019 (Shintaro Ito)
Archaludon,155/142,Archaludon
Misty's Dewgong,054/132,Misty's Dewgong
Jirachi GX,079a/236,Jirachi GX
Brock's Primeape,035/132,Brock's Primeape
Manaphy,3/95,Manaphy
Dhelmise - 084 (Pitch Black Stamped),084,Dhelmise (Pitch Black Stamped)
Zubat,70/82,Zubat
Froakie -  060,060,Froakie
Radiant Greninja - 2022 (Rikuto Ohashi),046/189,Radiant Greninja - 2022 (Rikuto Ohashi)
Shining Jirachi,42/73,Shining Jirachi
Misty's Wrath,114/132,Misty's Wrath
Torchic,73,Torchic
Mew - BW98,BW98,Mew
Island Cave,89/101,Island Cave
Drednaw - SWSH047,SWSH047,Drednaw
Gengar ex,104/162,Gengar ex
Magmortar,2/95,Magmortar
Lapras,12/18,Lapras
Charizard (Delta Species),4/100,Charizard (Delta Species)
Cleffa - 095,095,Cleffa
Honedge - XY12,XY12,Honedge
Kangaskhan,163/236,Kangaskhan
Metal Energy (#2),2/30,Metal Energy (#2)
Drapion V,GG49/GG70,Drapion V
M Scizor EX,77/122,M Scizor EX
Lucario GL - 2009 (Tsubasa Nakamura),8/111,Lucario GL - 2009 (Tsubasa Nakamura)
Dragonite (Movie Promo),05/53,Dragonite (Movie Promo)
Cleffa,17/123,Cleffa
Zamazenta V (Shiny) - SWSH293,SWSH293,Zamazenta V (Shiny)
Banette,1/100,Banette
Chikorita,77/123,Chikorita
Bagon,50/97,Bagon
Rayquaza ex - 039 (EX Collector's Tin),039,Rayquaza ex (EX Collector's Tin)
Candela (Secret),083/078,Candela (Secret)
Heracross,194/193,Heracross
Charmander,59/99,Charmander
Clefable,005/130,Clefable
Slurpuff,154/236,Slurpuff
Kyurem EX,30/101,Kyurem EX
Victory Cup - BW29 (Battle Road Autumn 2012) [3rd Place],BW29,Victory Cup (Battle Road Autumn 2012) [3rd Place]
Lightning Energy - 2008 (Tristan Robinson),,Lightning Energy - 2008 (Tristan Robinson)
Wigglytuff,52/112,Wigglytuff
Black Kyurem,100/149,Black Kyurem
Smeargle (11),11/75,Smeargle
Sentret,63/75,Sentret
Magmar ex,100/109,Magmar ex
Crobat,014/095,Crobat
Hisuian Lilligant VSTAR (Secret),190/189,Hisuian Lilligant VSTAR (Secret)
Banette,1/101,Banette
Miraidon - Pikachu 23,148,Miraidon - Pikachu 23
Pelipper,21/107,Pelipper
Rayquaza (Shiny),SL10,Rayquaza (Shiny)
Volkner,135a/156,Volkner
Mantine,29/123,Mantine
Latios ex (Delta Species),96/101,Latios ex (Delta Species)
Dark Houndoom,007/105,Dark Houndoom
Call Energy,92/100,Call Energy
Scizor ex,195/162,Scizor ex
Kingdra - 2011 (Gustavo Wada),85/95,Kingdra - 2011 (Gustavo Wada)
Sparkling Crystal,142/142,Sparkling Crystal
Zoroark GX,077a/073,Zoroark GX
Celio's Network - 2008 (Tristan Robinson),73/100,Celio's Network - 2008 (Tristan Robinson)
Shellos West Sea (SDCC 2007),107/132,Shellos West Sea (SDCC 2007)
Garchomp (120 Secret Rare),120/116,Garchomp (Secret Rare)
Unown [F],48/75,Unown [F]
Cascoon,30/92,Cascoon
Snorunt,037/182,Snorunt
Psychic Energy,164/165,Psychic Energy
Serperior V (Full Art),170/195,Serperior V (Full Art)
Flareon,12/108,Flareon
Treecko,076/109,Treecko
Porygon-Z,105a/147,Porygon-Z
Ninetales,015/108,Ninetales
Manaphy EX,32/122,Manaphy EX
Drapion E4,17/111,Drapion E4
Mewtwo EX (158 Full Art),158/162,Mewtwo EX (Full Art)
Decidueye,011/149,Decidueye
Steelix,38/130,Steelix
Onix,098/147,Onix
Capsakid,106/091,Capsakid
Flygon,15/97,Flygon
Ultra Ball,135/149,Ultra Ball
Petilil (Master Ball Pattern),006/086,Petilil (Master Ball Pattern)
Kamado (Secret),205/189,Kamado (Secret)
Leafeon ex,006/131,Leafeon ex
Zoroark - BW09,BW09,Zoroark
Litwick - BW27,BW27,Litwick
Entei,047/214,Entei
Salamence - XY59,XY59,Salamence
Hisuian Electrode V - SWSH294,SWSH294,Hisuian Electrode V
G Scope (Team Plasma),93/101,G Scope (Team Plasma)
Garchomp EX,XY09,Garchomp EX
Wobbuffet BREAK,XY155,Wobbuffet BREAK
Giratina,004/146,Giratina
Golbat - 2015 (Patrick Martinez),32/119,Golbat - 2015 (Patrick Martinez)
Squawkabilly ex,247/193,Squawkabilly ex
N's PP Up,153/159,N's PP Up
Pansear (Master Ball Pattern),014/086,Pansear (Master Ball Pattern)
Inteleon VMAX,050/192,Inteleon VMAX
M Gallade EX,35/108,M Gallade EX
Spheal,199/191,Spheal
Primal Kyogre EX (Shiny Full Art),96/98,Primal Kyogre EX (Shiny Full Art)
Eevee - SM184,SM184,Eevee
Slowpoke & Psyduck GX (Secret),239/236,Slowpoke & Psyduck GX (Secret)
Space Center,091/107,Space Center
Alakazam - 003 [Staff],003,Alakazam [Staff]
Machoke,041/101,Machoke
Team Aqua's Kyogre,003/095,Team Aqua's Kyogre
Darkrai EX,63/108,Darkrai EX
Celesteela GX (Secret),228/214,Celesteela GX (Secret)
Snorunt,RC7/RC32,Snorunt
Leafeon VSTAR - SWSH195,SWSH195,Leafeon VSTAR
Venipede (Master Ball Pattern),054/086,Venipede (Master Ball Pattern)
Haunter (21),21/62,Haunter
Zygarde,072/131,Zygarde
Seedot,61/92,Seedot
Dark Slowbro (12),12/82,Dark Slowbro
Abra,093/165,Abra
Bulbasaur - SWSH231,SWSH231,Bulbasaur
Hisuian Growlithe,181/167,Hisuian Growlithe
Mew EX - XY126,XY126,Mew EX
Dubwool V - SWSH049,SWSH049,Dubwool V
Dedenne GX,195a/214,Dedenne GX
Quaquaval - 005 (Prerelease) [Staff],005,Quaquaval (Prerelease) [Staff]
Grimmsnarl,SV085/SV122,Grimmsnarl
Premier Ball,91/100,Premier Ball
Moltres - XY127 (Prerelease) [Staff],XY127,Moltres (Prerelease) [Staff]
Charizard EX - XY121,XY121,Charizard EX
Blaine's Ponyta,063/132,Blaine's Ponyta
Horsea,33/97,Horsea
Tyranitar,056/124,Tyranitar
Magikarp,075/144,Magikarp
Spell Tag (Secret),235/214,Spell Tag (Secret)
Glaceon EX,20/124,Glaceon EX
Gouging Fire - 151 (Staff),151,Gouging Fire (Staff)
Iron Bundle - 058 (Prerelease) [Staff],058,Iron Bundle (Prerelease) [Staff]
Magneton,16/108,Magneton
Vileplume (15),15/64,Vileplume
Ninetales,025/147,Ninetales
Thundurus,50/113,Thundurus
Nidoqueen,31/123,Nidoqueen
Lightning Energy - 2010 (Yuta Komatsuda),,Lightning Energy - 2010 (Yuta Komatsuda)
Imakuni?'s Doduo,112/108,Imakuni?'s Doduo
Charizard EX (12),12/106,Charizard EX
Kangaskhan,026/130,Kangaskhan
Abomasnow,019/123,Abomasnow
Clawitzer,141/132,Clawitzer
Arcanine G,015/147,Arcanine G
Gardevoir,9/108,Gardevoir
Code Card - Small but Mighty Premium Collection,,Code Card - Small but Mighty Premium Collection
Pachirisu,010/017,Pachirisu
Dragapult ex,160/217,Dragapult ex
Tangrowth,034/095,Tangrowth
Dark Vileplume (30),30/82,Dark Vileplume
Gallade - 2008 (Jason Klaczynski),2/17,Gallade - 2008 (Jason Klaczynski)
Mew,111/110,Mew
Darkness Energy (Prize Pack Series 3) (Cosmos Holo),,Darkness Energy (Prize Pack Series 3) (Cosmos Holo)
Greninja,40/122,Greninja
Machamp,43/53,Machamp
Sunkern,078/111,Sunkern
Xurkitree GX - 2018 (Pedro Eugenio Torres),SM68,Xurkitree GX - 2018 (Pedro Eugenio Torres)
Shellos East Sea,79/111,Shellos East Sea
Professor Rowan (2007),112/130,Professor Rowan (2007)
Charizard GX,20/147,Charizard GX
Pawmo,143/091,Pawmo
Tapu Bulu GX,SV91/SV94,Tapu Bulu GX
Meowth V - SWSH004,SWSH004,Meowth V
Growlithe,RC4/RC25,Growlithe
Judge - 2024 (Fernando Cifuentes),176/198,Judge - 2024 (Fernando Cifuentes)
Lugia VSTAR - 2023 (Gabriel Fernandez),139/195,Lugia VSTAR - 2023 (Gabriel Fernandez)
Luxury Ball - 2010 (Yuka Furusawa),86/100,Luxury Ball - 2010 (Yuka Furusawa)
Blastoise EX (142 Full Art),142/146,Blastoise EX (Full Art)
Falinks,TG07/TG30,Falinks
Skarmory (63),063/165,Skarmory
Ludicolo (Delta Species),6/100,Ludicolo (Delta Species)
Bronzong (Master Ball Pattern),067/131,Bronzong (Master Ball Pattern)
Croconaw,074/165,Croconaw
Unown VSTAR,066/195,Unown VSTAR
Sunflora,050/111,Sunflora
Arceus VSTAR - 2022 (Ondrej Skubal),123/172,Arceus VSTAR - 2022 (Ondrej Skubal)
Kingdra GX,18/70,Kingdra GX
Pikachu,060/106,Pikachu
Radiant Alakazam,059/195,Radiant Alakazam
Regigigas (15),15/146,Regigigas
Sigilyph,121/086,Sigilyph
Togekiss,072/191,Togekiss
Unown [D],68/130,Unown [D]
Lightning Energy (2006-2007 League Promo),,Lightning Energy (2006-2007 League Promo)
Flygon - 025 (e-League),025,Flygon (e-League)
Cyrus Prism Star,120/156,Cyrus Prism Star
Vibrava,206/191,Vibrava
Treecko (78),78/99,Treecko
Infernape,59/131,Infernape
Ditto (3),03/62,Ditto
Broken Time-Space - 2010 (Mychael Bryan),104/127,Broken Time-Space - 2010 (Mychael Bryan)
Team Aqua's Corphish,26/95,Team Aqua's Corphish
Serperior (5),5/114,Serperior
Altaria GX,41/70,Altaria GX
Cubone,60/112,Cubone
Unown [Q] - 2010 (Mychael Bryan),49/100,Unown [Q] - 2010 (Mychael Bryan)
Kieran,174/131,Kieran
Mewtwo,11/146,Mewtwo
Psyduck,87/127,Psyduck
Switch (163 Secret Rare),163/160,Switch (Secret Rare)
Quilava,60/123,Quilava
Warp Point,126/132,Warp Point
Eevee,062/100,Eevee
Kirlia (Delta Species),33/101,Kirlia (Delta Species)
Great Tusk ex,123/198,Great Tusk ex
Sceptile (31),31/99,Sceptile
Sceptile (30),30/99,Sceptile
Tapu Koko GX,047/145,Tapu Koko GX
Chikorita (99),099/165,Chikorita
Code Card - 151 Pokemon Center Elite Trainer Box (Exclusive),,Code Card - 151 Pokemon Center Elite Trainer Box (Exclusive)
Tool Scrapper (Secret),208/192,Tool Scrapper (Secret)
Turbo Patch,172/189,Turbo Patch
Wimpod,191/182,Wimpod
Crobat - 076 [Staff],076,Crobat [Staff]
Armaldo,001/100,Armaldo
Noctowl - 141 (Pokemon Center Exclusive),141,Noctowl (Pokemon Center Exclusive)
Bulbasaur,012/17,Bulbasaur
Team Magma's Houndoom,10/95,Team Magma's Houndoom
N - 2017 (Naoto Suzuki),105/124,N - 2017 (Naoto Suzuki)
Entei V,022/172,Entei V
Rapidash [Pokemon Center NY],51/53,Rapidash [Pokemon Center NY]
Stonjourner V (Full Art),193/202,Stonjourner V (Full Art)
Palkia - DP27,DP27,Palkia
Hitmonchan,012/034,Hitmonchan
Bloodmoon Ursaluna ex - 141/167 - 2024 (Jesse Parker),141/167,Bloodmoon Ursaluna ex - 2024 (Jesse Parker)
Dustox,6/109,Dustox
Salamence,008/020,Salamence
Raticate,29/99,Raticate
Switch,206/165,Switch
Empoleon,4/130,Empoleon
Piloswine (H22),H22/H32,Piloswine (H22)
Mew ex,205/165,Mew ex
Blastoise EX,21/108,Blastoise EX
Lucario,063/124,Lucario
Ultra Ball - 2018 (Pedro Eugenio Torres),68/73,Ultra Ball - 2018 (Pedro Eugenio Torres)
Ultra Necrozma - SM165,SM165,Ultra Necrozma
Boss's Orders (Full Art),189/192,Boss's Orders (Full Art)
Exp. Share,18/20,Exp. Share
Bisharp (Master Ball Pattern),065/086,Bisharp (Master Ball Pattern)
Copperajah VMAX (Secret),199/192,Copperajah VMAX (Secret)
Alolan Meowth,008/012,Alolan Meowth
Trevenant,55/146,Trevenant
Cherish Ball (Secret),250/236,Cherish Ball (Secret)
Torchic,99/127,Torchic
Umbreon,120/214,Umbreon
Windstorm - 2007 (Jun Hasebe),85/100,Windstorm - 2007 (Jun Hasebe)
Bonnie (Full Art),128/131,Bonnie (Full Art)
Call Energy,092/100,Call Energy
Kirlia,33/106,Kirlia
Zapdos - SM159 (Prerelease),SM159,Zapdos (Prerelease)
Flittle,164/091,Flittle
Crocalor - 080,080,Crocalor
Houndour (86),086/147,Houndour
Rayquaza,9/106,Rayquaza
Team Magma's Numel - 2004 (Tsuguyoshi Yamato),64/95,Team Magma's Numel - 2004 (Tsuguyoshi Yamato)
Pachirisu,18/95,Pachirisu
Donphan,30/107,Donphan
Kirlia - 2008 (Jason Klaczynski),8/17,Kirlia - 2008 (Jason Klaczynski)
Pikachu - SM76,SM76,Pikachu
Dragonite,012/015,Dragonite
Fuecoco,201/193,Fuecoco
Tapu Koko V (Full Art),147/163,Tapu Koko V (Full Art)
Iron Thorns ex - 077/167 - 2024 (Fernando Cifuentes Gold Signature),077/167,Iron Thorns ex - 2024 (Fernando Cifuentes Gold Signature)
Uxie,18/123,Uxie
Gardevoir ex,086/198,Gardevoir ex
Rapid Strike Style Mustard,TG27/TG30,Rapid Strike Style Mustard
Dark Tyranitar,20/109,Dark Tyranitar
Urn of Vitality (Secret),229/198,Urn of Vitality (Secret)
Darmanitan,60/99,Darmanitan
Erika (100),100/132,Erika
Dark Dragonite (5),05/82,Dark Dragonite
Blissey,02/64,Blissey
Mewtwo,059/159,Mewtwo
Tranquill,149/086,Tranquill
Cyndaquil,59/100,Cyndaquil
Deoxys,GG12/GG70,Deoxys
Rhydon (H27),H27/H32,Rhydon (H27)
Sableye,184/091,Sableye
Onix,03/18,Onix
Alcremie V,22/73,Alcremie V
Unfezant (Master Ball Pattern),073/086,Unfezant (Master Ball Pattern)
Unown [N],69/132,Unown [N]
Bunnelby - SWSH082,SWSH082,Bunnelby
Litwick,101/214,Litwick
Eevee,155/214,Eevee
Ice Rider Calyrex V - SWSH130,SWSH130,Ice Rider Calyrex V
Sunflora - SWSH269 (Prerelease) [STAFF],SWSH269,Sunflora (Prerelease) [STAFF]
Tsareena,020/149,Tsareena
Charmander,018/147,Charmander
Altaria - XY46 (Prerelease) [Staff],XY46,Altaria (Prerelease) [Staff]
Code Card - Sword & Shield Elite Trainer Box Plus [Zamazenta],,Code Card - Sword & Shield Elite Trainer Box Plus [Zamazenta]
Moltres,014/094,Moltres
Porygon-Z - DP35,DP35,Porygon-Z
Metapod,46/123,Metapod
Basic Fighting Energy (Cracked Ice Holo),014,Basic Fighting Energy (Cracked Ice Holo)
Kecleon,37/92,Kecleon
Zapdos,044/147,Zapdos
Appletun,211/191,Appletun
Dragapult ex - 2025 (Jose Cruz Galindo-Resendiz) [Gold Stamped],,Dragapult ex - 2025 (Jose Cruz Galindo-Resendiz) [Gold Stamped]
Ditto,61/113,Ditto
Magikarp,039/192,Magikarp
Pokemon Trader,103/110,Pokemon Trader
Kingdra (H14),H14/H32,Kingdra (H14)
Oinkologne ex,158/198,Oinkologne ex
Forretress (3),3/90,Forretress
Sableye,48/100,Sableye
Goodra,60/98,Goodra
Joltik,50/135,Joltik
Arceus V - SWSH306,SWSH306,Arceus V
Team Magma's Poochyena,17/34,Team Magma's Poochyena
Houndoom,18/106,Houndoom
Steelix,024/095,Steelix
N - 2014 (Andrew Estrada),96/108,N - 2014 (Andrew Estrada)
Heatran (Master Ball Pattern),068/131,Heatran (Master Ball Pattern)
Pokemon Catcher - 2014 (Trent Orndorff),36/39,Pokemon Catcher - 2014 (Trent Orndorff)
Psychic Energy (Texture Full Art),156/159,Psychic Energy (Texture Full Art)
Swampert,011/106,Swampert
Mandibuzz,145/086,Mandibuzz
Slowpoke,005/012,Slowpoke
Roselia,9/97,Roselia
Gengar,5/92,Gengar
Mawile,17/108,Mawile
Retro Energy,144/144,Retro Energy
Zamazenta,201/182,Zamazenta
Zekrom - 2011 (Ross Cawthon),47/114,Zekrom - 2011 (Ross Cawthon)
Mewtwo & Mew GX (Full Art),222/236,Mewtwo & Mew GX (Full Art)
Mewtwo EX - XY183,XY183,Mewtwo EX
Piloswine (43),043/144,Piloswine
Colress's Experiment,GG59/GG70,Colress's Experiment
Fan Rotom,250/217,Fan Rotom
Scraggy,007/012,Scraggy
Unown (I),I/28,Unown (I)
Kabutops (9),09/62,Kabutops
Gardevoir GX,93/147,Gardevoir GX
Gengar Lv.X,97/99,Gengar Lv.X
Dragonite (Delta Species),3/113,Dragonite (Delta Species)
Mudsdale - SM20 (Prerelease),SM20,Mudsdale (Prerelease)
Golem,6/92,Golem
Infernape V - SWSH252,SWSH252,Infernape V
Feraligatr,24/70,Feraligatr
Parasect,43/112,Parasect
Skyla - 2013 (Yugo Sato),134/149,Skyla - 2013 (Yugo Sato)
White Kyurem GX - SM141,SM141,White Kyurem GX
Hatterene V - SWSH055,SWSH055,Hatterene V
Arceus LV.X - DP56,DP56,Arceus LV.X
Brock's Graveler,034/132,Brock's Graveler
Grass Energy (2006-2007 League Promo),,Grass Energy (2006-2007 League Promo)
Roxie's Performance,112/086,Roxie's Performance
Medicham ex,161/142,Medicham ex
Umbreon (Delta Species),17/113,Umbreon (Delta Species)
Mismagius,005/095,Mismagius
Passimian - SWSH115 (Prerelease),SWSH115,Passimian (Prerelease)
Magikarp,052/110,Magikarp
Alolan Persian GX,129/236,Alolan Persian GX
Code Card - Unbroken Bonds Lightning Loop Theme Deck - [Zeraora],,Code Card - Unbroken Bonds Lightning Loop Theme Deck - [Zeraora]
Glaceon VSTAR,GG40/GG70,Glaceon VSTAR
Shelmet 11/101 (Championship Series) [Staff],011/101,Shelmet 11/101 (Championship Series) [Staff]
Larvitar (Master Ball Pattern),047/131,Larvitar (Master Ball Pattern)
Super Scoop Up - 2012 (Igor Costa),103/114,Super Scoop Up - 2012 (Igor Costa)
Entei,001/017,Entei
Island Challenge Amulet (Secret),265/236,Island Challenge Amulet (Secret)
